SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
03M291,WEST END SECONDARY SCHOOL,6/05/2023,93.01
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,6/05/2023,51.57
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",6/05/2023,77.11
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,6/05/2023,90.96
03M334,THE ANDERSON SCHOOL,6/05/2023,97.60
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,6/05/2023,71.61
03M403,THE GLOBAL LEARNING COLLABORATIVE,6/05/2023,72.13
03M404,INNOVATION DIPLOMA PLUS,6/05/2023,33.08
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING   VIS,6/05/2023,82.17
03M417,FRANK MCCOURT HIGH SCHOOL,6/05/2023,88.58
03M421,WEST PREP ACADEMY,6/05/2023,82.38
03M452,P.S. 452,6/05/2023,92.80
03M479,BEACON HIGH SCHOOL,6/05/2023,NS
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC   ART A,6/05/2023,88.45
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",6/05/2023,64.20
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,6/05/2023,60.96
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,6/05/2023,32.94
03M541,MANHATTAN   HUNTER SCIENCE HIGH SCHOOL,6/05/2023,94.30
03M859,SPECIAL MUSIC SCHOOL,6/05/2023,93.81
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,6/05/2023,83.18
03M862,MOTT HALL II,6/05/2023,91.71
04M007,P.S. 007 SAMUEL STERN,6/05/2023,78.65
04M012,TAG YOUNG SCHOLARS,6/05/2023,95.64
04M037,RIVER EAST ELEMENTARY,6/05/2023,NS
04M038,P.S. 38 ROBERTO CLEMENTE,6/05/2023,97.95
04M057,JAMES WELDON JOHNSON,6/05/2023,88.43
04M072,THE LEXINGTON ACADEMY,6/05/2023,85.32
04M083,P.S. 083 LUIS MUNOZ RIVERA,6/05/2023,90.98
04M096,P.S. 096 JOSEPH LANZETTA,6/05/2023,80.56
04M102,P.S. 102 JACQUES CARTIER,6/05/2023,77.20
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,6/05/2023,85.32
04M112,P.S. 112 JOSE CELSO BARBOSA,6/05/2023,79.18
04M146,P.S. 146 ANN M. SHORT,6/05/2023,89.36
04M155,P.S. 155 WILLIAM PACA,6/05/2023,80.14
04M171,P.S. 171 PATRICK HENRY,6/05/2023,91.97
04M182,THE BILINGUAL BICULTURAL SCHOOL,6/05/2023,NS
04M206,P.S. 206 JOSE CELSO BARBOSA,6/05/2023,85.65
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS   ACADEMIC,6/05/2023,89.32
04M310,THE JUDITH S. KAYE SCHOOL,6/05/2023,52.63
04M372,ESPERANZA PREPARATORY ACADEMY,6/05/2023,80.45
04M375,MOSAIC PREPARATORY ACADEMY,6/05/2023,NS
