SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,9/17/2021,86.66
03M180,P.S. 180 HUGO NEWMAN,9/17/2021,85.85
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,9/17/2021,89.94
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,9/17/2021,76.50
03M199,P.S. 199 JESSIE ISADOR STRAUS,9/17/2021,54.54
03M241,STEM INSTITUTE OF MANHATTAN,9/17/2021,87.25
03M242,P.S. 242   THE YOUNG DIPLOMATS MAGNET ACADEMY,9/17/2021,77.27
03M243,M.S. 243 CENTER SCHOOL,9/17/2021,99.60
03M245,M.S. M245 THE COMPUTER SCHOOL,9/17/2021,95.92
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,9/17/2021,89.52
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,9/17/2021,71.42
03M256,LAFAYETTE ACADEMY,9/17/2021,81.16
03M258,COMMUNITY ACTION SCHOOL   MS 258,9/17/2021,80.20
03M291,WEST END SECONDARY SCHOOL,9/17/2021,86.32
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,9/17/2021,61.83
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",9/17/2021,72.51
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,9/17/2021,80.93
03M334,THE ANDERSON SCHOOL,9/17/2021,97.58
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,9/17/2021,68.77
03M403,THE GLOBAL LEARNING COLLABORATIVE,9/17/2021,66.74
03M404,INNOVATION DIPLOMA PLUS,9/17/2021,34.54
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING   VIS,9/17/2021,82.71
03M417,FRANK MCCOURT HIGH SCHOOL,9/17/2021,87.90
03M421,WEST PREP ACADEMY,9/17/2021,82.91
03M452,P.S. 452,9/17/2021,79.85
03M479,BEACON HIGH SCHOOL,9/17/2021,NS
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC   ART A,9/17/2021,95.84
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",9/17/2021,75.77
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,9/17/2021,77.37
